multiplet_name,peak_in_multiplet,position_ppm,height,width_hz,area,position_hz,gaussian_fraction
M5,5,4.3176,0.1,0.68,1.41,353.43999999999926,0.7142857142857143
M5,4,4.3599,1.08,0.99,19.31,373.43999999999926,0.4608294930875576
M5,3,4.3854,0.47,1.13,9.82,388.73999999999944,0.4926108374384236
M3,1,4.428,31.15,2.15,674.58,408.73999999999944,0.6993006993006994
M5,1,4.4646,0.06,1.08,1.26,428.73999999999944,0.4545454545454545
M4,1,5.5991,11.52,1.41,285.98,448.73999999999944,0.4273504273504274
M3,29,7.2926,0.45,0.59,5.14,468.73999999999944,0.6097560975609756
M3,28,7.2948,1.05,0.83,17.74,470.05999999999915,0.7352941176470589
M3,27,7.2973,0.48,0.72,7.03,471.55999999999915,0.7352941176470589
M3,26,7.3007,0.48,0.89,7.68,473.5999999999991,0.4504504504504505
M3,25,7.304,0.52,0.72,7.2,475.5799999999996,0.5681818181818182
M3,24,7.3071,3.23,1.08,72.41,477.43999999999926,0.8403361344537815
M3,23,7.3124,1.97,1.1,44.59,480.61999999999955,0.7575757575757576
M3,22,7.3172,0.73,0.5,6.55,483.49999999999875,0.4608294930875576
M3,21,7.32,4.98,1.67,169.69,485.17999999999904,0.7462686567164178
M2,1,7.3257,0.9,1.21,11.66,488.5999999999991,1.0
M3,20,7.326,1.94,1.81,74.02,488.7799999999985,0.9090909090909092
M2,2,7.3283,2.11,1.35,31.39,490.1599999999986,1.0
M2,3,7.331,1.11,1.27,15.04,491.7799999999994,0.9615384615384616
M3,19,7.3321,6.9,1.13,153.62,492.43999999999926,0.628930817610063
M3,18,7.3352,1.68,0.83,27.46,494.29999999999893,0.6172839506172839
M2,4,7.3356,1.02,1.22,10.53,494.5399999999996,0.3861003861003861
M2,5,7.3401,6.47,1.67,96.69,497.23999999999853,0.4524886877828054
M2,6,7.3441,3.53,1.22,41.53,499.6399999999991,0.5747126436781609
M2,7,7.3467,8.74,3.08,271.58,501.1999999999995,0.6993006993006994
M3,17,7.3492,5.39,1.23,137.89,502.69999999999857,0.819672131147541
M2,8,7.35,1.35,0.97,11.6,503.17999999999904,0.4464285714285714
M2,9,7.3537,8.08,1.14,96.05,505.3999999999993,0.8620689655172414
M3,16,7.354,0.45,0.56,4.41,505.5799999999987,0.4184100418410042
M2,10,7.358,22.61,2.25,559.86,507.9799999999992,1.0
M3,15,7.3586,1.14,1.12,24.42,508.3399999999989,0.5586592178770949
M2,11,7.3609,4.45,1.66,70.98,509.719999999999,0.5649717514124294
